Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.846154 | Iris-versicolor Prob.: 0.153846 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
Iris-setosa Prob.: 0.307692 | Iris-versicolor Prob.: 0.384615 | Iris-virginica Prob.: 0.307692 | 
