Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.571429 | Iris-virginica Prob.: 0.428571 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.571429 | Iris-virginica Prob.: 0.428571 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.714286 | Iris-virginica Prob.: 0.285714 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.571429 | Iris-virginica Prob.: 0.428571 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.428571 | Iris-virginica Prob.: 0.571429 | 
